2019-08-02 22:17:31.201627: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:267] No versions of servable MLP found under base path /mnt/c/Users/xihan/OneDrive/tensorflow-handbook/source/_static/code/zh/savedmodel/saved_with_signature
2019-08-02 22:17:32.202611: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:267] No versions of servable MLP found under base path /mnt/c/Users/xihan/OneDrive/tensorflow-handbook/source/_static/code/zh/savedmodel/saved_with_signature
2019-08-02 22:17:33.203666: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:267] No versions of servable MLP found under base path /mnt/c/Users/xihan/OneDrive/tensorflow-handbook/source/_static/code/zh/savedmodel/saved_with_signature
2019-08-02 22:17:34.204890: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:267] No versions of servable MLP found under base path /mnt/c/Users/xihan/OneDrive/tensorflow-handbook/source/_static/code/zh/savedmodel/saved_with_signature
2019-08-02 22:17:35.205583: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:267] No versions of servable MLP found under base path /mnt/c/Users/xihan/OneDrive/tensorflow-handbook/source/_static/code/zh/savedmodel/saved_with_signature
2019-08-02 22:17:36.206513: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:267] No versions of servable MLP found under base path /mnt/c/Users/xihan/OneDrive/tensorflow-handbook/source/_static/code/zh/savedmodel/saved_with_signature
2019-08-02 22:17:37.206659: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:267] No versions of servable MLP found under base path /mnt/c/Users/xihan/OneDrive/tensorflow-handbook/source/_static/code/zh/savedmodel/saved_with_signature
2019-08-02 22:17:38.207652: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:267] No versions of servable MLP found under base path /mnt/c/Users/xihan/OneDrive/tensorflow-handbook/source/_static/code/zh/savedmodel/saved_with_signature
2019-08-02 22:17:39.216830: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:267] No versions of servable MLP found under base path /mnt/c/Users/xihan/OneDrive/tensorflow-handbook/source/_static/code/zh/savedmodel/saved_with_signature
2019-08-02 22:17:40.217028: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:267] No versions of servable MLP found under base path /mnt/c/Users/xihan/OneDrive/tensorflow-handbook/source/_static/code/zh/savedmodel/saved_with_signature
2019-08-02 22:17:41.218083: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:267] No versions of servable MLP found under base path /mnt/c/Users/xihan/OneDrive/tensorflow-handbook/source/_static/code/zh/savedmodel/saved_with_signature
2019-08-02 22:17:42.219023: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:267] No versions of servable MLP found under base path /mnt/c/Users/xihan/OneDrive/tensorflow-handbook/source/_static/code/zh/savedmodel/saved_with_signature
2019-08-02 22:17:43.223042: W tensorflow_serving/sources/storage_path/file_system_storage_path_source.cc:267] No versions of servable MLP found under base path /mnt/c/Users/xihan/OneDrive/tensorflow-handbook/source/_static/code/zh/savedmodel/saved_with_signature
